timestamp,bible_or_anime,quote,quote_source,image_prompt,image_file,image_file_motivational,tweet_link,tweet_id
2022-08-18 00:17:03.286320+00:00,anime,"Those who stand at the top determine what’s wrong and what’s right! This very place is neutral ground! Justice will prevail, you say? But of course it will! Whoever wins this war becomes justice!",Don Quixote Doflamingo (One Piece),"Those who stand at the top determine what’s wrong and what’s right! This very place is neutral ground! Justice will prevail, you say? But of course it will! Whoever wins this war becomes justice!, horror expressionism vector art in the style of Rembrandt",img/TE8R0WGPI0.png,img/TE8R0WGPI0_motivational.jpg,https://twitter.com/i/web/status/1560058152287997955,1560058152287997955
2022-08-19 00:19:05.206251+00:00,bible,"Then king Rehoboam sent Adoram, who was over the tribute; and all Israel stoned him with stones, that he died. Therefore king Rehoboam made speed to get him up to his chariot, to flee to Jerusalem.",1 Kings 12:18,"Then king Rehoboam sent Adoram, who was over the tribute; and all Israel stoned him with stones, that he died. Therefore king Rehoboam made speed to get him up to his chariot, to flee to Jerusalem., vaporpunk impressionism scientific diagram in the style of Paul Gauguin",img/CJTJ4OII30.png,img/CJTJ4OII30_motivational.jpg,https://twitter.com/i/web/status/1560421052034887681,1560421052034887681
2022-08-20 00:17:25.468016+00:00,bible,"And it shall come to pass, that in the place where it was said unto them, Ye are not my people; there shall they be called the children of the living God.",Romans 9:26,"And it shall come to pass, that in the place where it was said unto them, Ye are not my people; there shall they be called the children of the living God., dieselpunk cubism etching in the style of Edouard Manet",img/EQPHO4EGBI.png,img/EQPHO4EGBI_motivational.jpg,https://twitter.com/i/web/status/1560783021858504705,1560783021858504705
2022-08-21 00:17:43.192993+00:00,anime,"Vision is not what your eyes see, but an image that your brain comprehends.",Touko Aozaki (The Garden of Sinners / Kara no Kyōkai),"Vision is not what your eyes see, but an image that your brain comprehends., cyberpunk renaissance painting scientific diagram in the style of Normal Rockwell",img/SMO9DQIM9L.png,img/SMO9DQIM9L_motivational.jpg,https://twitter.com/i/web/status/1561145483833253889,1561145483833253889
2022-08-22 00:18:26.146097+00:00,bible,The righteous man wisely considereth the house of the wicked: but God overthroweth the wicked for their wickedness.,Proverbs 21:12,"The righteous man wisely considereth the house of the wicked: but God overthroweth the wicked for their wickedness., memphis surrealism illustration in the style of Edgar Degas",img/BNECAS7A96.png,img/BNECAS7A96_motivational.jpg,https://twitter.com/i/web/status/1561508052255313920,1561508052255313920
2022-08-23 00:21:40.550254+00:00,anime,You need to accept the fact that you’re not the best and have all the will to strive to be better than anyone you face.,Roronoa Zoro (One Piece),"You need to accept the fact that you’re not the best and have all the will to strive to be better than anyone you face., anime ancient crayon in the style of Wassily Kandinsky",img/OYEEI1F0XE.png,img/OYEEI1F0XE_motivational.jpg,https://twitter.com/i/web/status/1561871255405486080,1561871255405486080
2022-08-25 00:19:39.330741+00:00,anime,"If you’re gonna insist on gambling and then complain when you lose, you had better work on your game.",Hatsu Kominato (Selector Infected Wixoss),"If you’re gonna insist on gambling and then complain when you lose, you had better work on your game., cyberpunk expressionism digital painting in the style of Pierre-Auguste Renoir",img/ZIABLLCY9Q.png,img/ZIABLLCY9Q_motivational.jpg,https://twitter.com/i/web/status/1562595521801654272,1562595521801654272
,anime,Hatred and Sorrow are power. They are yours to control. All you have to do is to turn them into strength and use that strength to move forward.,Sebastian Michaelis (Black Butler / Kuroshitsuji),,,,,
,bible,"Making request, if by any means now at length I might have a prosperous journey by the will of God to come unto you.",Romans 1:10,,,,,
,anime,"There are no regrets. If one can be proud of one’s life, one should not wish for another chance.",Saber (Fate Stay Night),,,,,
